,0,1,2,3,4,5,6,7,8,9
71_72_12_0,0.9274322986602783,0.9812870025634766,0.9911481738090515,0.9835303425788879,0.9983599185943604,,,,,
71_72_12_1,0.933215320110321,0.9827846884727478,0.9918860793113708,0.9839522242546082,0.9983919858932495,,,,,
71_72_12_2,0.9208054542541504,0.9797785878181458,0.9903395771980286,0.9843018651008606,0.998626708984375,,,,,
71_72_9_0,0.9467882513999939,0.984919011592865,0.9929269552230835,0.9854966998100281,0.9985013008117676,,,,,
71_72_9_1,0.9475436210632324,0.9850892424583435,0.9928907155990601,0.9865421652793884,0.9986933469772339,,,,,
71_72_9_2,0.952446699142456,0.9865940809249878,0.991276204586029,0.986911952495575,0.9987691640853882,,,,,
71_72_6_0,0.966986358165741,0.9859828948974609,0.9944862127304077,0.9885072112083435,0.9988805651664734,,,,,
71_72_6_1,0.9689118266105652,0.987115740776062,0.9951199293136597,0.9901109933853149,0.9989323019981384,,,,,
71_72_6_2,0.968538224697113,0.9890368580818176,0.9937118887901306,0.9898757934570312,0.9989094138145447,,,,,
71_72_3_0,0.9832925200462341,0.9905338883399963,0.9970694184303284,0.9937950372695923,0.9992347955703735,,,,,
71_72_3_1,0.982485830783844,0.98609459400177,0.9972021579742432,0.9945909380912781,0.999416708946228,,,,,
71_72_3_2,0.9825575947761536,0.9925460815429688,0.9969412684440613,0.9944562911987305,0.9991786479949951,,,,,
71_72_2_0,0.9895209670066833,0.9917042255401611,0.9980981945991516,0.9958324432373047,0.9994426369667053,,,,,
71_72_2_1,0.9854435324668884,0.9900074005126953,0.9980745911598206,0.9965675473213196,0.9994733929634094,,,,,
71_72_2_2,0.9860482811927795,0.9943910837173462,0.9978929162025452,0.9965616464614868,0.9994211196899414,,,,,
71_72_1_0,0.9922793507575989,0.9934403300285339,0.9989814758300781,0.9978377819061279,0.9995550513267517,,,,,
71_72_1_1,0.9888483285903931,0.9907217025756836,0.9989535212516785,0.9984418749809265,0.9995667934417725,,,,,
71_72_1_2,0.977467954158783,0.9965324997901917,0.9987943768501282,0.9980630278587341,0.9996263980865479,,,,,
71_60_12_0,0.9311903715133667,0.9835754632949829,0.991729199886322,0.9835255146026611,0.9982905387878418,,,,,
71_60_12_1,0.9323537945747375,0.9840222597122192,0.9914684295654297,0.9835862517356873,0.9983516931533813,,,,,
71_60_12_2,0.9265780448913574,0.9811886548995972,0.9904395341873169,0.984175980091095,0.9986218214035034,,,,,
71_60_9_0,0.9476184844970703,0.9841449856758118,0.9928227663040161,0.9857122898101807,0.9985592365264893,,,,,
71_60_9_1,0.954043984413147,0.9861564636230469,0.9931598901748657,0.9868696331977844,0.9987015128135681,,,,,
71_60_9_2,0.9543697834014893,0.9871706962585449,0.9922990202903748,0.9869148135185242,0.9986870288848877,,,,,
71_60_6_0,0.9665470719337463,0.9874564409255981,0.9948334693908691,0.9893105626106262,0.9987530708312988,,,,,
71_60_6_1,0.9686917662620544,0.9881266355514526,0.9949385523796082,0.9901862740516663,0.9989455342292786,,,,,
71_60_6_2,0.9699108004570007,0.9891178607940674,0.9938541650772095,0.9899900555610657,0.9989263415336609,,,,,
71_60_3_0,0.9862469434738159,0.9911586046218872,0.9971916675567627,0.9940156936645508,0.9992480874061584,,,,,
71_60_3_1,0.9818417429924011,0.9896717071533203,0.9971556067466736,0.9946327805519104,0.9993472099304199,,,,,
71_60_3_2,0.983776330947876,0.9928109645843506,0.9969370365142822,0.9942614436149597,0.9991950988769531,,,,,
71_60_2_0,0.9892054200172424,0.9931678771972656,0.9981191158294678,0.9959023594856262,0.9993698596954346,,,,,
71_60_2_1,0.985434353351593,0.9898921847343445,0.9981179237365723,0.9965054988861084,0.9994598031044006,,,,,
71_60_2_2,0.9845689535140991,0.9945674538612366,0.9979025721549988,0.9962947368621826,0.9993535876274109,,,,,
71_60_1_0,0.9915584325790405,0.9943383932113647,0.9989446401596069,0.9978903532028198,0.9995394349098206,,,,,
71_60_1_1,0.9857721924781799,0.9911206960678101,0.9989939332008362,0.9984821677207947,0.9996054172515869,,,,,
71_60_1_2,0.9834851026535034,0.9967901706695557,0.9988217353820801,0.9982683658599854,0.9995706677436829,,,,,
71_48_12_0,0.9337251782417297,0.983722448348999,0.991689145565033,0.983837902545929,0.9982948899269104,,,,,
71_48_12_1,0.9393964409828186,0.9849638342857361,0.9914047718048096,0.9846559166908264,0.998628556728363,,,,,
71_48_12_2,0.9312609434127808,0.9846351146697998,0.9903575778007507,0.9846528172492981,0.9985795021057129,,,,,
71_48_9_0,0.9531073570251465,0.9862601161003113,0.9934900999069214,0.9862039685249329,0.9985806941986084,,,,,
71_48_9_1,0.955449104309082,0.9863889217376709,0.9930855631828308,0.9872017502784729,0.9987778067588806,,,,,
71_48_9_2,0.9541890025138855,0.9860705137252808,0.9907154440879822,0.9870090484619141,0.9988407492637634,,,,,
71_48_6_0,0.965981125831604,0.9869114756584167,0.9945122003555298,0.9890111684799194,0.9988637566566467,,,,,
71_48_6_1,0.9713548421859741,0.9888758659362793,0.9948647022247314,0.9904496073722839,0.998977541923523,,,,,
71_48_6_2,0.9709922075271606,0.9895754456520081,0.9933927059173584,0.9899530410766602,0.9989542365074158,,,,,
71_48_3_0,0.9861196875572205,0.9919500946998596,0.9972554445266724,0.9940224289894104,0.9991341233253479,,,,,
71_48_3_1,0.9859613180160522,0.9879578948020935,0.9972233176231384,0.9946431517601013,0.9993089437484741,,,,,
71_48_3_2,0.9826522469520569,0.9928311705589294,0.9966974854469299,0.9942806959152222,0.9992889761924744,,,,,
71_48_2_0,0.9902129769325256,0.993110179901123,0.9981010556221008,0.9962795376777649,0.9992841482162476,,,,,
71_48_2_1,0.9868279695510864,0.9907504916191101,0.9980858564376831,0.9964423775672913,0.9994664192199707,,,,,
71_48_2_2,0.9847463965415955,0.994905948638916,0.9979786276817322,0.9965277910232544,0.9994210004806519,,,,,
71_48_1_0,0.9935939908027649,0.9952603578567505,0.9990148544311523,0.9981727600097656,0.9994373321533203,,,,,
71_48_1_1,0.9901912808418274,0.9930956959724426,0.9990420937538147,0.9985641837120056,0.9994745254516602,,,,,
71_48_1_2,0.9856308698654175,0.9965635538101196,0.998973548412323,0.9985606074333191,0.9994750618934631,,,,,
71_36_12_0,0.9389637112617493,0.9846158623695374,0.9917983412742615,0.9839353561401367,0.998417854309082,,,,,
71_36_12_1,0.9423054456710815,0.9850480556488037,0.991707444190979,0.9843571782112122,0.9984911680221558,,,,,
71_36_12_2,0.928913950920105,0.9841797947883606,0.9909018278121948,0.9850314259529114,0.9986733794212341,,,,,
71_36_9_0,0.953449010848999,0.9844952821731567,0.9928726553916931,0.9856470227241516,0.9986922740936279,,,,,
71_36_9_1,0.9575814008712769,0.9866083264350891,0.9931186437606812,0.9873016476631165,0.9986881017684937,,,,,
71_36_9_2,0.9502581357955933,0.9874029159545898,0.9918086528778076,0.9871640801429749,0.9988062381744385,,,,,
71_36_6_0,0.9713976383209229,0.9887579083442688,0.994982123374939,0.9897574782371521,0.9988682270050049,,,,,
71_36_6_1,0.97184818983078,0.9882452487945557,0.9950768351554871,0.9906619787216187,0.9989105463027954,,,,,
71_36_6_2,0.9714004397392273,0.9893522262573242,0.9928032755851746,0.990510880947113,0.9990862607955933,,,,,
71_36_3_0,0.985668957233429,0.9910173416137695,0.9970661401748657,0.9939761161804199,0.9993354678153992,,,,,
71_36_3_1,0.9857434630393982,0.9896355271339417,0.9971893429756165,0.9948796629905701,0.9993417859077454,,,,,
71_36_3_2,0.9867509603500366,0.9930062890052795,0.996168315410614,0.9944574236869812,0.9993029832839966,,,,,
71_36_2_0,0.9898127317428589,0.9925324320793152,0.997999370098114,0.9960145354270935,0.9994227290153503,,,,,
71_36_2_1,0.9876673817634583,0.9910345673561096,0.9981154799461365,0.9966867566108704,0.999441385269165,,,,,
71_36_2_2,0.9877946972846985,0.9948522448539734,0.9978697299957275,0.9964820742607117,0.9993855953216553,,,,,
71_36_1_0,0.9926124811172485,0.994640052318573,0.9989975690841675,0.998009443283081,0.9995129704475403,,,,,
71_36_1_1,0.9897721409797668,0.9917992949485779,0.9990525245666504,0.9987283945083618,0.9995537400245667,,,,,
71_36_1_2,0.9921384453773499,0.9958731532096863,0.9988818764686584,0.9987781047821045,0.999243438243866,,,,,
71_24_12_0,0.9422710537910461,0.9849818348884583,0.9917160868644714,0.984100878238678,0.9984763860702515,,,,,
71_24_12_1,0.9462177157402039,0.9851760864257812,0.991022527217865,0.9846503138542175,0.998678982257843,,,,,
71_24_12_2,0.9381088018417358,0.9856898784637451,0.9907433390617371,0.9849729537963867,0.9986875057220459,,,,,
71_24_9_0,0.9560386538505554,0.9845181703567505,0.9928947687149048,0.9861006140708923,0.998603105545044,,,,,
71_24_9_1,0.9592832922935486,0.9867550134658813,0.9926060438156128,0.9870211482048035,0.9988089799880981,,,,,
71_24_9_2,0.9552451968193054,0.9871826767921448,0.9910749197006226,0.9870337247848511,0.9988343119621277,,,,,
71_24_6_0,0.9713650345802307,0.988756537437439,0.9950929284095764,0.9899811148643494,0.998924195766449,,,,,
71_24_6_1,0.9730436205863953,0.9868593215942383,0.9945845603942871,0.990240752696991,0.9990465044975281,,,,,
71_24_6_2,0.9736173748970032,0.9892445802688599,0.9917181134223938,0.9897814393043518,0.9991336464881897,,,,,
