,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357
MLP_0,0.9461141228675842,0.9825897216796875,0.9985382556915283,0.9143555164337158,0.927736222743988,0.9998171925544739,0.9910640716552734,0.9962813258171082,0.9474142789840698,0.9172919392585754,0.9335426092147827,0.9735963940620422,0.9998951554298401,0.9999470710754395,0.9038695096969604,0.9916019439697266,0.9289616942405701,0.9982565641403198,0.9998129606246948,0.9213978052139282,0.999985933303833,0.8283348083496094,0.9583962559700012,0.9621290564537048,0.9991029500961304,0.9619959592819214,0.9997132420539856,0.965498685836792,0.9997578263282776,0.999994158744812,0.9999945759773254,0.9648572206497192,0.999994158744812,0.9590441584587097,0.9216262102127075,0.9716156721115112,0.9180509448051453,0.996841311454773,0.9018194675445557,0.9685820937156677,0.9995961785316467,0.9439594149589539,0.9165663719177246,0.9999972581863403,0.027378320693969727,0.8142454028129578,0.494193434715271,0.9588324427604675,0.9989998936653137,0.940248966217041,0.9990220069885254,0.9662517309188843,0.9845878481864929,0.9996105432510376,0.9999979138374329,0.9217284917831421,0.9306294918060303,0.9677982330322266,0.9458265900611877,0.9962006211280823,0.9999972581863403,0.5425896048545837,0.8095700740814209,0.8966522812843323,0.9248114228248596,0.9750901460647583,0.9606143832206726,0.9953087568283081,0.9821850061416626,0.9986456632614136,0.7791293859481812,0.988614022731781,0.7307392358779907,0.9712495803833008,0.8478600382804871,0.4561382532119751,0.9990212917327881,0.9590438008308411,0.8851051926612854,0.9935903549194336,0.9998393654823303,0.9535372853279114,0.9000034332275391,0.9919587969779968,0.9961111545562744,0.9618134498596191,0.9656386375427246,0.9551039338111877,0.9983676671981812,0.9999751448631287,0.8631906509399414,0.7980951070785522,0.9872018098831177,0.935613751411438,0.868068277835846,0.9721941947937012,0.8115466237068176,0.9999913573265076,0.950513482093811,0.9108197689056396,0.5034356117248535,0.49916911125183105,0.5510967969894409,0.8407555222511292,0.5806447267532349,0.9263777136802673,0.3670274615287781,0.15716713666915894,0.7556113600730896,0.7111529111862183,0.7398779392242432,-0.9261513948440552,0.4929013252258301,0.6273000836372375,0.7370021343231201,0.6848421096801758,0.8695316314697266,0.6740480661392212,0.9125641584396362,0.7795600891113281,0.8594141006469727,0.8627649545669556,0.7573381066322327,0.977136492729187,0.945891261100769,0.9081436991691589,0.8759413361549377,0.7511270642280579,0.8041473627090454,0.8330855369567871,0.8283226490020752,0.8102585077285767,0.7653461694717407,0.731490969657898,0.920243501663208,0.8390334844589233,0.9946247339248657,0.9620152115821838,0.9993449449539185,0.9551401734352112,0.9998394846916199,0.9999150633811951,0.9783244132995605,0.9910004138946533,0.7968125343322754,0.9999269247055054,0.7335087656974792,0.3237670063972473,0.2672584652900696,0.21121954917907715,0.9973116517066956,0.6762884855270386,0.9993957877159119,0.6832756996154785,0.3038700819015503,0.9028215408325195,0.4983031153678894,0.9531891345977783,0.9992740750312805,0.6363891363143921,0.9995092749595642,0.9999744296073914,0.5366317629814148,0.9860029816627502,0.6352219581604004,0.9974949955940247,0.999976634979248,0.8325880765914917,0.5619838237762451,0.7867332696914673,0.5948036909103394,0.8995213508605957,0.7355424165725708,0.6020768880844116,0.5843219757080078,0.9272168874740601,0.9523483514785767,0.8003853559494019,0.9284400343894958,0.9989365935325623,0.6682461500167847,0.985456109046936,0.9999342560768127,0.9979326725006104,0.999944269657135,0.9971112608909607,0.9350395202636719,0.9974417686462402,0.8138858079910278,0.8009061217308044,0.5539629459381104,0.9293453097343445,0.9999881386756897,0.7975871562957764,0.9910739660263062,0.9944173097610474,0.8810473680496216,0.8564152121543884,0.9377347230911255,0.727078914642334,0.8812296390533447,0.9897136688232422,0.8996880650520325,0.9304794669151306,0.9989694356918335,0.8609709739685059,0.8914521336555481,0.7035256624221802,0.9991897344589233,0.9999906420707703,0.7778774499893188,0.3526621460914612,0.9306633472442627,0.8944701552391052,0.9857662320137024,0.9952016472816467,0.8165938258171082,0.9787114262580872,0.7038834095001221,0.7708107233047485,0.81629878282547,0.9979920983314514,0.7118984460830688,0.9991761445999146,0.9516856670379639,0.7804723978042603,0.8895059823989868,0.9600236415863037,0.9119260907173157,0.9087589979171753,0.8614729642868042,0.8660860061645508,0.9949517250061035,0.794965386390686,0.7996368408203125,0.30289363861083984,0.6331242322921753,0.6462751626968384,0.9066596627235413,0.9714670777320862,0.4414820075035095,-1.790808916091919,0.9999998807907104,0.8795486688613892,0.9403781890869141,0.9882071018218994,0.950562059879303,0.912466824054718,0.9976895451545715,0.8126814365386963,0.9585511088371277,0.9957616925239563,0.8280722498893738,0.835673451423645,0.9991108775138855,0.6159756183624268,0.9995387196540833,0.9444820284843445,0.4226331114768982,0.7356249094009399,0.627886176109314,0.16545724868774414,0.9999998807907104,0.36249274015426636,0.7578984498977661,0.711835503578186,0.7345871329307556,0.8495591878890991,0.5137258172035217,0.9870302677154541,0.9303162097930908,0.9434869885444641,0.8909550905227661,0.997704267501831,0.9999999403953552,0.9999999403953552,0.8632599115371704,0.9908643960952759,0.9817045331001282,0.9961107969284058,0.8120768070220947,0.9980789422988892,0.9923384189605713,0.999977171421051,0.9999955892562866,0.5814175009727478,0.999995768070221,-0.3004441261291504,0.9999999403953552,0.9988933801651001,0.9996110200881958,0.9993923902511597,0.9882914423942566,0.9053064584732056,0.9830478429794312,0.9985451698303223,0.9403771758079529,0.9999516606330872,0.9998672604560852,0.9999405741691589,0.9488276243209839,0.9734885096549988,0.9918551445007324,0.9991973042488098,0.9999977350234985,0.9999944567680359,0.9885396957397461,0.9995865821838379,0.999927282333374,0.9231837391853333,0.9405363202095032,0.9759736657142639,0.9759371876716614,0.9682591557502747,0.9949789643287659,0.8447195291519165,0.857139527797699,0.9414987564086914,0.9257572889328003,0.8613492846488953,0.8896926641464233,0.8326683044433594,0.9953782558441162,0.874626874923706,0.930252194404602,0.9501730799674988,0.7995628118515015,0.8532187342643738,0.9517926573753357,0.9375724196434021,0.9609484076499939,0.8879270553588867,0.7452757358551025,0.9575981497764587,0.7703832387924194,0.8601938486099243,0.5411057472229004,0.9437716007232666,0.9579364061355591,0.8057205080986023,0.8754079341888428,0.9672328233718872,0.9199279546737671,0.8610004782676697,0.928550124168396,0.9204588532447815,0.9618982076644897,0.9944636225700378,0.8978039026260376,0.9949085116386414,0.9469722509384155,0.9623346924781799,0.999809205532074,0.4719850420951843,0.9008586406707764,0.9329061508178711,0.9992141723632812,0.9998558759689331
MLP_1,0.9419259428977966,0.9833244681358337,0.9984031915664673,0.90436190366745,0.8782024383544922,0.9998201727867126,0.9918680191040039,0.9958937168121338,0.9420083165168762,0.905354380607605,0.9264323115348816,0.9655717015266418,0.9998860955238342,0.9999392628669739,0.8753433227539062,0.9856900572776794,0.7842171788215637,0.9969741702079773,0.9997290968894958,0.9102381467819214,0.999983549118042,0.7438470125198364,0.9520395398139954,0.9424917697906494,0.9988497495651245,0.9801663160324097,0.9996138215065002,0.9772292375564575,0.9997117519378662,0.9999931454658508,0.9999943375587463,0.9473385810852051,0.9999951124191284,0.9600914120674133,0.9276634454727173,0.9672126770019531,0.932088315486908,0.9972114562988281,0.9035877585411072,0.9459069967269897,0.9995274543762207,0.9524707794189453,0.9216413497924805,0.9999976754188538,0.02636653184890747,0.7499767541885376,0.4688096046447754,0.9634019732475281,0.998894453048706,0.9439237713813782,0.9989981651306152,0.9634197950363159,0.9837794303894043,0.9995967149734497,0.9999979734420776,0.8957480192184448,0.9303305745124817,0.9748709797859192,0.9232028722763062,0.9947415590286255,0.9999975562095642,0.43702149391174316,0.7543379068374634,0.9091102480888367,0.8806397914886475,0.9700333476066589,0.9448557496070862,0.9940364956855774,0.9722121357917786,0.9985371232032776,0.7490417957305908,0.9877080321311951,0.7017511129379272,0.9699733853340149,0.8410429358482361,0.35693538188934326,0.9990386366844177,0.9546024203300476,0.8050971031188965,0.9936685562133789,0.9998642802238464,0.9490368366241455,0.9003180861473083,0.9921584129333496,0.9950234293937683,0.9646331071853638,0.9643773436546326,0.9449189305305481,0.9977399110794067,0.9999755024909973,0.8413420915603638,0.7308517694473267,0.9808083772659302,0.9134218692779541,0.8150959014892578,0.9644941091537476,0.8505551815032959,0.9999923706054688,0.9554042220115662,0.9095165729522705,0.37539011240005493,0.4804709553718567,0.024104714393615723,0.7407126426696777,0.5619857311248779,0.9416319727897644,-0.12115037441253662,-0.5089060068130493,0.541693925857544,0.6571105122566223,0.5575522184371948,-1.375267744064331,0.17681509256362915,0.4551846385002136,0.5880425572395325,0.5539648532867432,0.7900893688201904,0.6182913780212402,0.914603054523468,0.8422011733055115,0.8727452754974365,0.8383302688598633,0.7016041278839111,0.9819806218147278,0.9315110445022583,0.905462384223938,0.8696091175079346,0.5854296088218689,0.6915221810340881,0.7464356422424316,0.7603182792663574,0.8475508093833923,0.757587730884552,0.6731352806091309,0.9000287652015686,0.7817510366439819,0.9947651624679565,0.9573689103126526,0.9990503787994385,0.9451764822006226,0.9998232126235962,0.9998989701271057,0.9822593927383423,0.9883121848106384,0.7754052877426147,0.9999141097068787,0.704910397529602,0.021044135093688965,0.17932558059692383,-0.09832394123077393,0.9978814125061035,0.7071328163146973,0.9995357394218445,0.5309385061264038,-0.1626574993133545,0.809118926525116,0.3375231623649597,0.9176338315010071,0.9991592168807983,0.5505823493003845,0.9995090365409851,0.9999756813049316,0.36109215021133423,0.9878777861595154,0.57369065284729,0.997385561466217,0.9999818801879883,0.876720130443573,0.4602819085121155,0.7800038456916809,0.5048296451568604,0.9067679047584534,0.8116375207901001,0.5635054111480713,0.38041627407073975,0.8966573476791382,0.958641767501831,0.7867230176925659,0.9362736344337463,0.9990383982658386,0.7283507585525513,0.9834589958190918,0.9999381303787231,0.9979430437088013,0.9999445080757141,0.9964931607246399,0.9493581652641296,0.9973401427268982,0.7817408442497253,0.7949404120445251,0.5581261515617371,0.8929829597473145,0.9999875426292419,0.7386749982833862,0.9896823763847351,0.9939837455749512,0.8549283742904663,0.7521495819091797,0.9045092463493347,0.7006716728210449,0.8812461495399475,0.990385115146637,0.8860135674476624,0.9373392462730408,0.9989324808120728,0.8437616229057312,0.8775990009307861,0.6736389994621277,0.9991952180862427,0.9999903440475464,0.8141295909881592,0.06453382968902588,0.9098820686340332,0.8936566114425659,0.9838370680809021,0.9950036406517029,0.8049805164337158,0.9778155088424683,0.6311022043228149,0.796097457408905,0.8489373326301575,0.998088002204895,0.7464990615844727,0.9991763234138489,0.9575889110565186,0.7349302172660828,0.8797484636306763,0.965391993522644,0.9121407270431519,0.915876030921936,0.8514301776885986,0.8322219848632812,0.9941102862358093,0.7818536758422852,0.7514760494232178,0.1399967074394226,0.6130598187446594,0.6096790432929993,0.9059181213378906,0.968536376953125,0.3724404573440552,-1.9758288860321045,0.9999998807907104,0.9130014181137085,0.9126263856887817,0.9865097403526306,0.9185435771942139,0.9587372541427612,0.9978652596473694,0.829703688621521,0.955568253993988,0.9952526092529297,0.7741159200668335,0.795834481716156,0.9981421232223511,0.34224504232406616,0.9991994500160217,0.9295178055763245,0.7035452127456665,0.7597688436508179,0.3634195327758789,0.1879780888557434,0.9999998807907104,0.14135682582855225,0.8925300240516663,0.7367959022521973,0.8027161955833435,0.8167081475257874,0.6539521813392639,0.9850250482559204,0.9014952182769775,0.9309719800949097,0.8701978921890259,0.9983611106872559,0.9999999403953552,0.9999999403953552,0.8410707116127014,0.9896096587181091,0.9853211045265198,0.9962846040725708,0.826122522354126,0.9978935122489929,0.9903439283370972,0.9999610781669617,0.9999937415122986,0.6883951425552368,0.999995768070221,0.6103754639625549,0.9999999403953552,0.9984286427497864,0.9996433258056641,0.9996033310890198,0.9873095154762268,0.9183188080787659,0.9855889081954956,0.9985997080802917,0.9416624307632446,0.9999548196792603,0.9999083876609802,0.9999551773071289,0.9432497620582581,0.97676682472229,0.99301677942276,0.9992637634277344,0.999997615814209,0.9999949932098389,0.9896058440208435,0.9998003840446472,0.9999685883522034,0.9351580739021301,0.9710322022438049,0.9769586324691772,0.964596152305603,0.9727527499198914,0.9962394833564758,0.8519458770751953,0.8673712611198425,0.9210149645805359,0.930241584777832,0.8576258420944214,0.8971855044364929,0.8555339574813843,0.9965876340866089,0.9620549082756042,0.9744016528129578,0.9646445512771606,0.7933032512664795,0.8917704820632935,0.9734925627708435,0.9526261687278748,0.9771161079406738,0.9366241097450256,0.7723430395126343,0.9664106369018555,0.7735016942024231,0.8537300825119019,0.69080650806427,0.9614298939704895,0.9586905837059021,0.8617972135543823,0.9659539461135864,0.9673120975494385,0.9168674349784851,0.8521004319190979,0.9467750191688538,0.9216413497924805,0.9722208976745605,0.9946110248565674,0.9129085540771484,0.9939948320388794,0.8997036814689636,0.9570882320404053,0.9997701048851013,0.4907873868942261,0.8873671293258667,0.9455083608627319,0.9992328882217407,0.9998497366905212
MLP_2,0.9482618570327759,0.9775930643081665,0.9980953931808472,0.9138215780258179,0.9420487880706787,0.9998149871826172,0.9932084679603577,0.9966384768486023,0.9523143768310547,0.9167764186859131,0.9370131492614746,0.9719401597976685,0.9998952746391296,0.9999411106109619,0.9203817248344421,0.9910808801651001,0.8729776740074158,0.9979633688926697,0.999800443649292,0.9340846538543701,0.9999830722808838,0.8305648565292358,0.9636648297309875,0.9655644297599792,0.9991879463195801,0.9791179895401001,0.9997302889823914,0.9776784777641296,0.9997944235801697,0.9999929070472717,0.9999936819076538,0.9648028016090393,0.9999940395355225,0.9630682468414307,0.9415653347969055,0.974412739276886,0.9553192853927612,0.9979526996612549,0.9139575958251953,0.969400942325592,0.9996727108955383,0.954465389251709,0.9278247356414795,0.9999969601631165,0.159809410572052,0.8206275105476379,0.5777660608291626,0.9644373059272766,0.998981773853302,0.9431915283203125,0.9991171360015869,0.963293194770813,0.9846938848495483,0.9996418356895447,0.999997615814209,0.932070791721344,0.9447352290153503,0.9801719188690186,0.9492174386978149,0.9965030550956726,0.999997079372406,0.55893874168396,0.8103828430175781,0.912142276763916,0.9122462272644043,0.9737851619720459,0.960647463798523,0.9951757192611694,0.9767095446586609,0.9988477230072021,0.8251522183418274,0.9896131157875061,0.7642142176628113,0.9706807136535645,0.8428714871406555,0.5116907954216003,0.9992184638977051,0.9557217359542847,0.8192163705825806,0.9934607148170471,0.9998571872711182,0.9521134495735168,0.9080983996391296,0.9930044412612915,0.9957913756370544,0.9680269956588745,0.9437894225120544,0.9591193199157715,0.9983946084976196,0.9999774694442749,0.8470726013183594,0.7948217988014221,0.9799237847328186,0.9160551428794861,0.7768011689186096,0.9722053408622742,0.8701667189598083,0.9999925494194031,0.9516292214393616,0.8928793668746948,0.5416605472564697,0.5357872843742371,0.33368539810180664,0.7972136735916138,0.5682395696640015,0.9335322380065918,0.03657495975494385,0.009758234024047852,0.6858022212982178,0.6860779523849487,0.706976056098938,-1.1968533992767334,0.4830555319786072,0.6863632202148438,0.7106727957725525,0.6740829348564148,0.8787407279014587,0.6950205564498901,0.913438081741333,0.8530800342559814,0.8585342764854431,0.843099057674408,0.8072209358215332,0.9813171625137329,0.9482870697975159,0.8992605805397034,0.8669323921203613,0.7328044176101685,0.7590702772140503,0.8226399421691895,0.8148115277290344,0.865409791469574,0.7972067594528198,0.7701819539070129,0.9333788156509399,0.8141154646873474,0.9948554635047913,0.9664248824119568,0.9993687868118286,0.953867495059967,0.9998704195022583,0.9999118447303772,0.9765351414680481,0.9858600497245789,0.8300182223320007,0.9999063014984131,0.7283228635787964,0.41115647554397583,0.28872162103652954,0.34028828144073486,0.9968308806419373,0.780022144317627,0.9994421005249023,0.6757146120071411,0.14850646257400513,0.8602925539016724,0.6339916586875916,0.9388179183006287,0.9994615316390991,0.6682186126708984,0.9996712803840637,0.9999792575836182,0.542723536491394,0.9867649674415588,0.6657834649085999,0.9971060156822205,0.9999827146530151,0.8400355577468872,0.645769476890564,0.8103464245796204,0.6366533041000366,0.8977341055870056,0.8084354400634766,0.6911827325820923,0.3374786972999573,0.9225631356239319,0.9607961773872375,0.808269739151001,0.9430583715438843,0.9990234375,0.722968578338623,0.9835413694381714,0.9999473094940186,0.9976481795310974,0.9999526143074036,0.9960318207740784,0.959665834903717,0.9981772303581238,0.8382008075714111,0.8473740816116333,0.6977565288543701,0.9371824264526367,0.9999858736991882,0.7622096538543701,0.9895597100257874,0.9938933253288269,0.8671290874481201,0.8233855962753296,0.9277139902114868,0.7346294522285461,0.8574598431587219,0.9882899522781372,0.9021227955818176,0.8874830603599548,0.9984202980995178,0.8692609071731567,0.8792971968650818,0.7631018161773682,0.9991546869277954,0.9999899864196777,0.8274293541908264,0.5529452562332153,0.9094376564025879,0.9027000069618225,0.9819384217262268,0.9944382309913635,0.8429843187332153,0.9788617491722107,0.7351291179656982,0.8782234191894531,0.8611775040626526,0.9979753494262695,0.7158225178718567,0.9991335272789001,0.9384565353393555,0.707988977432251,0.8897435665130615,0.9718083739280701,0.9083107113838196,0.9064888954162598,0.8681801557540894,0.8478569984436035,0.9942779541015625,0.8285074234008789,0.8304293155670166,0.3377428650856018,0.6865125894546509,0.6640275120735168,0.9153603315353394,0.9718437194824219,0.41511595249176025,-1.502939224243164,0.9999998807907104,0.8896349668502808,0.9079751968383789,0.9873964786529541,0.9239098429679871,0.9579070210456848,0.9980131387710571,0.8511428833007812,0.9575691819190979,0.9956536889076233,0.8160336017608643,0.8480694890022278,0.9984453916549683,0.4782736301422119,0.9991993308067322,0.9370803236961365,0.6792389750480652,0.7625070810317993,0.5587998032569885,0.44065165519714355,0.9999998807907104,0.4290897846221924,0.9469069242477417,0.7768244743347168,0.8184236288070679,0.8451383113861084,0.7016934156417847,0.9879035353660583,0.9184694290161133,0.9431205987930298,0.8932996392250061,0.9980178475379944,0.9999999403953552,0.9999999403953552,0.8724172711372375,0.9918279647827148,0.9843080043792725,0.9969042539596558,0.8576920628547668,0.9976926445960999,0.9881576895713806,0.9999529123306274,0.999991774559021,0.7069609761238098,0.9999921321868896,0.6024962067604065,0.9999999403953552,0.9989681243896484,0.9995566010475159,0.9995639324188232,0.987373411655426,0.9041971564292908,0.9845278859138489,0.9989144206047058,0.938826322555542,0.9999396204948425,0.9999074339866638,0.9999541640281677,0.9460483193397522,0.9821532964706421,0.9939610362052917,0.9993147850036621,0.9999975562095642,0.9999948740005493,0.9896878600120544,0.9997942447662354,0.9999660849571228,0.9315457940101624,0.9719067215919495,0.9763076901435852,0.9676811695098877,0.9740278720855713,0.9973955750465393,0.8737258911132812,0.9032379984855652,0.951844334602356,0.9426999092102051,0.8635709285736084,0.9130609631538391,0.8882619142532349,0.9972299933433533,0.9475167393684387,0.9665570855140686,0.9670454263687134,0.8205085396766663,0.8830706477165222,0.9532900452613831,0.9552669525146484,0.9607150554656982,0.9365572333335876,0.8463118076324463,0.9720932245254517,0.839888334274292,0.9136821031570435,0.7776451110839844,0.9399072527885437,0.9449540376663208,0.9068437814712524,0.9474357962608337,0.976082444190979,0.9050304889678955,0.8622463941574097,0.9147149324417114,0.9355864524841309,0.9707210063934326,0.9955849051475525,0.9049665927886963,0.9959885478019714,0.9433731436729431,0.9625512361526489,0.9998363256454468,0.5090588331222534,0.8921166062355042,0.9327191710472107,0.9991519451141357,0.9998610019683838
