,0,1,2,3,4,5,6,7,8,9
71_72_12_0,0.8506896495819092,0.5689595341682434,0.8456083536148071,0.8274421691894531,0.9868051409721375,,,,,
71_72_12_1,0.8401328921318054,0.6590597033500671,0.8559698462486267,0.7632004618644714,0.9805572628974915,,,,,
71_72_12_2,0.8281062841415405,0.4649389386177063,0.8298371434211731,0.8724730014801025,0.988418459892273,,,,,
71_72_9_0,0.892275333404541,0.6178083419799805,0.8345166444778442,0.8067458868026733,0.9857431650161743,,,,,
71_72_9_1,0.863128662109375,0.6828724145889282,0.8481029868125916,0.8382258415222168,0.9848964810371399,,,,,
71_72_9_2,0.9044729471206665,0.7178566455841064,0.8417362570762634,0.8974351286888123,0.9914453625679016,,,,,
71_72_6_0,0.9359991550445557,0.709850549697876,0.8505170345306396,0.7782323956489563,0.986707329750061,,,,,
71_72_6_1,0.9201140403747559,0.7250564694404602,0.8725150227546692,0.8767209649085999,0.9867222905158997,,,,,
71_72_6_2,0.9234764575958252,0.7213391065597534,0.852306604385376,0.8647523522377014,0.9888791441917419,,,,,
71_72_3_0,0.9583059549331665,0.7577074766159058,0.8812553882598877,0.8592191934585571,0.990344226360321,,,,,
71_72_3_1,0.9644328951835632,0.7023823261260986,0.8843442797660828,0.8650007843971252,0.9872233867645264,,,,,
71_72_3_2,0.9609600901603699,0.7255558967590332,0.9016228914260864,0.8807038068771362,0.9896095395088196,,,,,
71_72_2_0,0.9799358248710632,0.8022644519805908,0.9219380021095276,0.890815258026123,0.9933844208717346,,,,,
71_72_2_1,0.9730773568153381,0.7831023931503296,0.90694260597229,0.8976605534553528,0.9874667525291443,,,,,
71_72_2_2,0.9807133674621582,0.7074817419052124,0.9340180158615112,0.915266752243042,0.9918579459190369,,,,,
71_72_1_0,0.9861607551574707,0.8842422962188721,0.9440282583236694,0.9494580030441284,0.9953756928443909,,,,,
71_72_1_1,0.9839543104171753,0.836442232131958,0.9349061846733093,0.9439553618431091,0.9895515441894531,,,,,
71_72_1_2,0.9816454648971558,0.8708322048187256,0.9583988189697266,0.9527272582054138,0.9951703548431396,,,,,
71_60_12_0,0.8883339166641235,0.6280738115310669,0.8397144079208374,0.8160048723220825,0.987107515335083,,,,,
