,0,1,2,3,4,5,6,7,8,9
71_ResGCN_downstream_isolated_0,0.9307146072387696,0.7175768613815308,0.7015120983123779,0.6222631931304932,0.9835642576217652,,,,,
71_ResGCN_downstream_isolated_1,0.9182154536247252,0.6736462116241455,0.7644773721694946,0.7227144241333008,0.9868090748786926,,,,,
71_ResGCN_downstream_isolated_2,0.9023398756980896,0.6358745098114014,0.6497969627380371,0.5291423201560974,0.978611171245575,,,,,
71_ResGCN_downstream_binary_0,0.9358848333358764,0.6486248970031738,0.7182295322418213,0.6713871359825134,0.990189790725708,,,,,
71_ResGCN_downstream_binary_1,0.9509907364845276,0.5164815187454224,0.6783492565155029,0.6698532104492188,0.9906665086746216,,,,,
71_ResGCN_downstream_binary_2,0.9308272004127502,0.7134610414505005,0.7581565380096436,0.7209811806678772,0.9899725317955016,,,,,
71_ResGCN_downstream_stream_length_0,0.9358639121055604,0.648818850517273,0.718384861946106,0.6715915203094482,0.9902114272117616,,,,,
71_ResGCN_downstream_stream_length_1,0.9509571194648744,0.5169752836227417,0.6783424615859985,0.6698983311653137,0.9906576871871948,,,,,
71_ResGCN_downstream_stream_length_2,0.9308376908302308,0.7134972214698792,0.7581546902656555,0.7209079265594482,0.9899535775184632,,,,,
71_ResGCN_downstream_elevation_difference_0,0.9358639121055604,0.648818850517273,0.718384861946106,0.6715915203094482,0.9902114272117616,,,,,
71_ResGCN_downstream_elevation_difference_1,0.9509571194648744,0.5169752836227417,0.6783424615859985,0.6698983311653137,0.9906576871871948,,,,,
71_ResGCN_downstream_elevation_difference_2,0.9308376908302308,0.7134972214698792,0.7581546902656555,0.7209079265594482,0.9899535775184632,,,,,
71_ResGCN_downstream_average_slope_0,0.9358848333358764,0.6486248970031738,0.7182295322418213,0.6713871359825134,0.990189790725708,,,,,
71_ResGCN_downstream_average_slope_1,0.9509907364845276,0.5164815187454224,0.6783492565155029,0.6698532104492188,0.9906665086746216,,,,,
71_ResGCN_downstream_average_slope_2,0.9308272004127502,0.7134610414505005,0.7581565380096436,0.7209811806678772,0.9899725317955016,,,,,
71_ResGCN_downstream_learned_0,0.9512922763824464,0.5072160363197327,0.6789340376853943,0.6008224487304688,0.9901993870735168,,,,,
71_ResGCN_downstream_learned_1,0.949101984500885,0.526054322719574,0.6740890145301819,0.6644524335861206,0.9902521967887878,,,,,
71_ResGCN_downstream_learned_2,0.9257197976112366,0.7170919179916382,0.7633793354034424,0.729219913482666,0.990388810634613,,,,,
71_ResGCN_upstream_isolated_0,0.9307146072387696,0.7175768613815308,0.7015120983123779,0.6222631931304932,0.9835642576217652,,,,,
71_ResGCN_upstream_isolated_1,0.9182154536247252,0.6736462116241455,0.7644773721694946,0.7227144241333008,0.9868090748786926,,,,,
71_ResGCN_upstream_isolated_2,0.9023398756980896,0.6358745098114014,0.6497969627380371,0.5291423201560974,0.978611171245575,,,,,
71_ResGCN_upstream_binary_0,0.9285313487052916,0.7603270411491394,0.7442287802696228,0.7408676147460938,0.9876421689987184,,,,,
71_ResGCN_upstream_binary_1,0.9116549491882324,0.6980510950088501,0.7517836689949036,0.7154509425163269,0.989060401916504,,,,,
71_ResGCN_upstream_binary_2,0.9030781388282776,0.7329249382019043,0.746248722076416,0.6648594737052917,0.9901668429374696,,,,,
71_ResGCN_upstream_stream_length_0,0.9245932102203368,0.7600398659706116,0.7442754507064819,0.7343175411224365,0.9875669479370116,,,,,
71_ResGCN_upstream_stream_length_1,0.9125502705574036,0.695817232131958,0.7514139413833618,0.7086861729621887,0.989015519618988,,,,,
71_ResGCN_upstream_stream_length_2,0.9029252529144288,0.7285284399986267,0.7486358880996704,0.6706774830818176,0.9901660680770874,,,,,
71_ResGCN_upstream_elevation_difference_0,0.923839032649994,0.7686776518821716,0.7445505261421204,0.7397645711898804,0.9876256585121156,,,,,
71_ResGCN_upstream_elevation_difference_1,0.9121668338775636,0.6988554000854492,0.7582100629806519,0.7148329019546509,0.988897144794464,,,,,
71_ResGCN_upstream_elevation_difference_2,0.9012690782546996,0.7328931093215942,0.7472797632217407,0.6626894474029541,0.9901756048202516,,,,,
71_ResGCN_upstream_average_slope_0,0.923101842403412,0.755456268787384,0.7395753264427185,0.7334927320480347,0.987656831741333,,,,,
71_ResGCN_upstream_average_slope_1,0.9134002923965454,0.6984798908233643,0.7535820007324219,0.7133443355560303,0.9889149069786072,,,,,
71_ResGCN_upstream_average_slope_2,0.9025974869728088,0.7291581630706787,0.7481248378753662,0.6667095422744751,0.9900612831115724,,,,,
71_ResGCN_upstream_learned_0,0.938196063041687,0.7483528256416321,0.7589184045791626,0.7646282315254211,0.9864197969436646,,,,,
71_ResGCN_upstream_learned_1,0.9110301733016968,0.7058119773864746,0.7439307570457458,0.7217102646827698,0.9884905219078064,,,,,
71_ResGCN_upstream_learned_2,0.9109678268432616,0.7542698383331299,0.7473781108856201,0.687812328338623,0.989996612071991,,,,,
71_ResGCN_bidirectional_isolated_0,0.9307146072387696,0.7175768613815308,0.7015120983123779,0.6222631931304932,0.9835642576217652,,,,,
71_ResGCN_bidirectional_isolated_1,0.9182154536247252,0.6736462116241455,0.7644773721694946,0.7227144241333008,0.9868090748786926,,,,,
71_ResGCN_bidirectional_isolated_2,0.9023398756980896,0.6358745098114014,0.6497969627380371,0.5291423201560974,0.978611171245575,,,,,
71_ResGCN_bidirectional_binary_0,0.8845649361610413,0.6355276703834534,0.657274603843689,0.672465443611145,0.9641191959381104,,,,,
